x,y,class,unit_time,sequence_time,_id
-21.032799,-38.680855,0,1516327200.0,1516327200.0,10188.0
-23.464489,-16.284208,0,1543320000.0,1543320000.0,182642.0
-20.938772,-21.459919,0,1543230000.0,1543230000.0,182067.0
-30.004272,-7.8574677,0,1517047200.0,1517047200.0,14788.0
-2.4909518,-35.77697,0,1515081600.0,1515081600.0,2230.0
-14.668071,-11.178432,0,1523912400.0,1523912400.0,58649.0
0.020090107,-5.537601,0,1541944800.0,1541944800.0,173856.0
-14.496718,-25.257294,0,1542510000.0,1542510000.0,177467.0
-7.3454943,-31.630077,0,1514991600.0,1514991600.0,1655.0
20.217358,17.11568,0,1537567200.0,1537567200.0,145888.0
-18.775179,-9.509936,0,1523894400.0,1523894400.0,58534.0
8.373444,6.681575,0,1543928400.0,1543928400.0,186529.0
-22.627996,-19.843006,0,1543240800.0,1543240800.0,182136.0
25.077171,1.4757086,0,1543863600.0,1543863600.0,186115.0
-11.171122,-23.008322,0,1541354400.0,1541354400.0,170084.0
-10.054149,-30.437801,0,1515006000.0,1515006000.0,1747.0
-13.876746,-16.707453,0,1543266000.0,1543266000.0,182297.0
-1.6782465,-6.51063,0,1519480800.0,1519480800.0,30336.0
-35.833687,-30.25521,0,1515862800.0,1515862800.0,7221.0
-7.408957,-25.802229,0,1541800800.0,1541800800.0,172936.0
-42.23114,-20.13121,0,1516017600.0,1516017600.0,8210.0
-19.18655,-9.87758,0,1523890800.0,1523890800.0,58511.0
-21.30931,-38.1881,0,1516323600.0,1516323600.0,10165.0
-22.011694,-20.004608,0,1543237200.0,1543237200.0,182113.0
-24.641054,-28.007477,0,1541534400.0,1541534400.0,171234.0
22.906675,2.7519302,0,1543852800.0,1543852800.0,186046.0
-7.301191,-4.4648476,0,1520866800.0,1520866800.0,39191.0
-17.740088,-38.13575,0,1516348800.0,1516348800.0,10326.0
-31.812744,-29.496805,0,1520701200.0,1520701200.0,38133.0
-37.961716,-24.43773,0,1515945600.0,1515945600.0,7750.0
-22.57292,-17.35871,0,1543327200.0,1543327200.0,182688.0
